Pays;Secteur;Type;Nom;WGS 84;Adresse;Département;Code postal;Ville;Lundi;Mardi;Mercredi;Jeudi;Vendredi ;Samedi;Dimanche et fêtes;Ouvert le lundi;Ouvert le mardi;Ouvert le mercredi;Ouvert le jeudi;Ouvert le vendredi;Ouvert le samedi;Ouvert le dimanche;Rendez-vous;GUICHET VENTE VOYAGES;BLS
(borne libre service);lu;ma;me;je;ve;LU - VE;Ouvert lundi - vendredi;Particularités;Particularités EN;Particularités ES;Particularités DE;Particularités IT;Particularités NL;Dates d'ouverture
si pdv saisonnier;Dates d'ouverture si pdv saisonnier EN;Dates d'ouverture si pdv saisonnier ES;Dates d'ouverture si pdv saisonnier DE;Dates d'ouverture si pdv saisonnier IT;Dates d'ouverture si pdv saisonnier NL;Si travaux, 
dates de fermeture;Si travaux, dates de fermeture EN;Si travaux, dates de fermeture ES;Si travaux, dates de fermeture DE;Si travaux, dates de fermeture IT;Si travaux, dates de fermeture NL;URL profonde service rendez-vous 
France;EST;Gare;RETHEL;49.50457068, 4.37028428;Place Victor Hugo;08;8300.0;Rethel;5:20-12:15 & 12:40-20:15;5:20-12:15 & 12:40-20:15;5:20-12:15 & 12:40-20:15;5:20-12:15 & 12:40-20:15;5:20-12:15 & 12:40-20:15;8:20-12:00 & 14:50-17:25;14:10-21:00;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;CHATEAUBOURG;48.10614832, -1.40529581;Place de la Gare;35;35220.0;Chateaubourg;9:00-12:30;9:00-12:30;9:00-12:30;9:00-12:30;9:00-12:30;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;DOL DE BRETAGNE;48.54297584, -1.75046978;5 place de la Gare;35;35120.0;Dol;6:30-13:20 & 13:50-19:20;6:30-13:20 & 13:50-19:20;6:30-13:20 & 13:50-19:20;6:30-13:20 & 13:50-19:20;6:30-13:20 & 13:50-19:20;07:50-13:40 & 13:50-19:20;09:55-13:20 & 14:05-19:20;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;L'HERMITAGE MORDELLES;48.12316333, -1.81918843;1 place de la Gare;35;35590.0;L'Hermitage Mordelles;7:10-11:00 & 14:00-17:40;14:00-18:15;14:00-18:15;14:00-18:15;14:00-18:15;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;JANZE;47.95512334, -1.49740973;Impasse de la Gare;35;35150.0;Janzé;6:30-13:10 & 13:25-20:15;6:30-13:10 & 13:25-20:15;6:30-13:10 & 13:25-20:15;6:30-13:10 & 13:25-20:15;6:30-13:10 & 13:25-20:15;10:00-16:00;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;MESSAC GUIPRY;47.82221391, -1.81866815;Place de la Gare;35;35480.0;Messac Guipry;6:15-11:30 & 12:50-15:30;6:45-11:30 & 12:50-15:30;6:45-11:30 & 12:50-15:30;6:45-11:30 & 12:50-15:30;6:45-11:30 & 13:00-17:15;10:00-12:00 & 13:30-16:30;13:30-18:30;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;MONTFORT SUR MEU;48.13899222, -1.94885546;1 place de la Gare;35;35160.0;Montfort sur Meu;7:00-12:25;7:00-12:25;7:00-12:25;7:00-12:25;7:00-12:25;8:40-13:50;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;Gare;MONTREUIL SUR ILLE;48.30632019, -1.67427134;Place de la Gare;35;35440.0;Montreuil sur Ille;6:45-14:00;6:45-14:00;6:45-14:00;6:45-14:00;6:45-14:00;Fermé;Fermé;ouvert;ouvert;ouvert;ouvert;ouvert;fermé;fermé;non;Oui;Non;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;GARE;MORLAIX;48.577569, -3.833131;Place Rol Tanguy;29;29600.0;MORLAIX;8:45-19:15;8:45-19:15;8:45-19:15;8:45-19:15;9:55 -19:15;9:00-18:00;13:40-19:30;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;ouvert;non;oui;oui;1.0;1.0;1.0;1.0;1.0;5.0;ouvert;;;;;;;;;;;;;;;;;;;
France;OUEST;BOUTIQUE;PLANCOËT;48.5216713, -2.2289527;Place de la gare;22;22130.0;PLANCOËT;Fermé;9:40-12:15;Fermé;9:40-12:15;9:40-12:15;10:00-12:15;Fermé;fermé;ouvert;fermé;ouvert;ouvert;ouvert;fermé;non;oui;Non;0.0;1.0;0.0;1.0;0.0;2.0;ouvert;;;;;;;;;;;;;;;;;;;
